file,topic,topic_name,level,question,answer
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,1,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,2,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,3,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,4,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,5,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,6,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,7,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,8,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,9,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,10,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,11,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,12,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,13,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,14,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,15,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,16,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,17,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,18,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,19,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,20,B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,21,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,22,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,23,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,24,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,25,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,26,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,27,A
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,28,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,29,C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,30,D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,31,AB
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,32,AC
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,33,BD
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,34,CD
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,35,BC
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,36,1-C; 2-D; 3-A; 4-B
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,37,1-B; 2-D; 3-A; 4-C
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,38,1-C; 2-B; 3-A; 4-D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,39,1-B; 2-C; 3-A; 4-D
t01_b.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Базовый,40,1-B; 2-D; 3-C; 4-A
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,1,C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,2,C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,3,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,4,C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,5,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,6,C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,7,A
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,8,C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,9,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,10,B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,11,A
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,12,B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,13,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,14,B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,15,C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,16,B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,17,B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,18,C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,19,B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,20,B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,21,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,22,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,23,A
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,24,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,25,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,26,C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,27,A
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,28,A
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,29,D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,30,B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,31,CD
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,32,AB
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,33,AC
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,34,BD
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,35,AD
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,36,1-D; 2-C; 3-B; 4-A
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,37,1-C; 2-A; 3-B; 4-D
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,38,1-C; 2-D; 3-A; 4-B
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,39,1-D; 2-B; 3-A; 4-C
t01_m.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Средний,40,1-A; 2-C; 3-D; 4-B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,1,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,2,A
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,3,D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,4,D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,5,A
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,6,C
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,7,D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,8,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,9,D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,10,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,11,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,12,A
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,13,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,14,C
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,15,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,16,A
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,17,C
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,18,A
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,19,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,20,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,21,C
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,22,C
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,23,C
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,24,D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,25,C
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,26,D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,27,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,28,B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,29,A
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,30,D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,31,CD
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,32,BD
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,33,CD
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,34,CD
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,35,AD
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,36,1-B; 2-D; 3-A; 4-C
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,37,1-B; 2-C; 3-A; 4-D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,38,1-D; 2-C; 3-A; 4-B
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,39,1-C; 2-A; 3-B; 4-D
t01_h.md,t01,Разнообразие живых организмов. Биосфера и экосистема,Высокий,40,1-B; 2-A; 3-D; 4-C
t02_b.md,t02,Питание,Базовый,1,C
t02_b.md,t02,Питание,Базовый,2,B
t02_b.md,t02,Питание,Базовый,3,D
t02_b.md,t02,Питание,Базовый,4,D
t02_b.md,t02,Питание,Базовый,5,A
t02_b.md,t02,Питание,Базовый,6,A
t02_b.md,t02,Питание,Базовый,7,D
t02_b.md,t02,Питание,Базовый,8,D
t02_b.md,t02,Питание,Базовый,9,D
t02_b.md,t02,Питание,Базовый,10,B
t02_b.md,t02,Питание,Базовый,11,C
t02_b.md,t02,Питание,Базовый,12,B
t02_b.md,t02,Питание,Базовый,13,D
t02_b.md,t02,Питание,Базовый,14,C
t02_b.md,t02,Питание,Базовый,15,A
t02_b.md,t02,Питание,Базовый,16,D
t02_b.md,t02,Питание,Базовый,17,A
t02_b.md,t02,Питание,Базовый,18,D
t02_b.md,t02,Питание,Базовый,19,A
t02_b.md,t02,Питание,Базовый,20,D
t02_b.md,t02,Питание,Базовый,21,A
t02_b.md,t02,Питание,Базовый,22,A
t02_b.md,t02,Питание,Базовый,23,B
t02_b.md,t02,Питание,Базовый,24,B
t02_b.md,t02,Питание,Базовый,25,C
t02_b.md,t02,Питание,Базовый,26,C
t02_b.md,t02,Питание,Базовый,27,C
t02_b.md,t02,Питание,Базовый,28,D
t02_b.md,t02,Питание,Базовый,29,D
t02_b.md,t02,Питание,Базовый,30,D
t02_b.md,t02,Питание,Базовый,31,AB
t02_b.md,t02,Питание,Базовый,32,BC
t02_b.md,t02,Питание,Базовый,33,CD
t02_b.md,t02,Питание,Базовый,34,AD
t02_b.md,t02,Питание,Базовый,35,BC
t02_b.md,t02,Питание,Базовый,36,1-A; 2-D; 3-B; 4-C
t02_b.md,t02,Питание,Базовый,37,1-C; 2-D; 3-B; 4-A
t02_b.md,t02,Питание,Базовый,38,1-D; 2-C; 3-A; 4-B
t02_b.md,t02,Питание,Базовый,39,1-D; 2-B; 3-A; 4-C
t02_b.md,t02,Питание,Базовый,40,1-D; 2-A; 3-C; 4-B
t02_m.md,t02,Питание,Средний,1,D
t02_m.md,t02,Питание,Средний,2,B
t02_m.md,t02,Питание,Средний,3,C
t02_m.md,t02,Питание,Средний,4,C
t02_m.md,t02,Питание,Средний,5,B
t02_m.md,t02,Питание,Средний,6,B
t02_m.md,t02,Питание,Средний,7,A
t02_m.md,t02,Питание,Средний,8,C
t02_m.md,t02,Питание,Средний,9,D
t02_m.md,t02,Питание,Средний,10,B
t02_m.md,t02,Питание,Средний,11,C
t02_m.md,t02,Питание,Средний,12,C
t02_m.md,t02,Питание,Средний,13,B
t02_m.md,t02,Питание,Средний,14,D
t02_m.md,t02,Питание,Средний,15,A
t02_m.md,t02,Питание,Средний,16,C
t02_m.md,t02,Питание,Средний,17,C
t02_m.md,t02,Питание,Средний,18,C
t02_m.md,t02,Питание,Средний,19,A
t02_m.md,t02,Питание,Средний,20,B
t02_m.md,t02,Питание,Средний,21,A
t02_m.md,t02,Питание,Средний,22,D
t02_m.md,t02,Питание,Средний,23,A
t02_m.md,t02,Питание,Средний,24,B
t02_m.md,t02,Питание,Средний,25,A
t02_m.md,t02,Питание,Средний,26,B
t02_m.md,t02,Питание,Средний,27,D
t02_m.md,t02,Питание,Средний,28,D
t02_m.md,t02,Питание,Средний,29,A
t02_m.md,t02,Питание,Средний,30,A
t02_m.md,t02,Питание,Средний,31,BC
t02_m.md,t02,Питание,Средний,32,CD
t02_m.md,t02,Питание,Средний,33,AD
t02_m.md,t02,Питание,Средний,34,BD
t02_m.md,t02,Питание,Средний,35,BD
t02_m.md,t02,Питание,Средний,36,1-C; 2-B; 3-A; 4-D
t02_m.md,t02,Питание,Средний,37,1-C; 2-B; 3-A; 4-D
t02_m.md,t02,Питание,Средний,38,1-D; 2-B; 3-C; 4-A
t02_m.md,t02,Питание,Средний,39,1-A; 2-D; 3-C; 4-B
t02_m.md,t02,Питание,Средний,40,1-D; 2-C; 3-A; 4-B
t02_h.md,t02,Питание,Высокий,1,B
t02_h.md,t02,Питание,Высокий,2,A
t02_h.md,t02,Питание,Высокий,3,A
t02_h.md,t02,Питание,Высокий,4,D
t02_h.md,t02,Питание,Высокий,5,A
t02_h.md,t02,Питание,Высокий,6,C
t02_h.md,t02,Питание,Высокий,7,C
t02_h.md,t02,Питание,Высокий,8,D
t02_h.md,t02,Питание,Высокий,9,A
t02_h.md,t02,Питание,Высокий,10,D
t02_h.md,t02,Питание,Высокий,11,C
t02_h.md,t02,Питание,Высокий,12,C
t02_h.md,t02,Питание,Высокий,13,B
t02_h.md,t02,Питание,Высокий,14,B
t02_h.md,t02,Питание,Высокий,15,D
t02_h.md,t02,Питание,Высокий,16,B
t02_h.md,t02,Питание,Высокий,17,B
t02_h.md,t02,Питание,Высокий,18,B
t02_h.md,t02,Питание,Высокий,19,D
t02_h.md,t02,Питание,Высокий,20,D
t02_h.md,t02,Питание,Высокий,21,C
t02_h.md,t02,Питание,Высокий,22,D
t02_h.md,t02,Питание,Высокий,23,C
t02_h.md,t02,Питание,Высокий,24,B
t02_h.md,t02,Питание,Высокий,25,D
t02_h.md,t02,Питание,Высокий,26,A
t02_h.md,t02,Питание,Высокий,27,B
t02_h.md,t02,Питание,Высокий,28,C
t02_h.md,t02,Питание,Высокий,29,A
t02_h.md,t02,Питание,Высокий,30,B
t02_h.md,t02,Питание,Высокий,31,AB
t02_h.md,t02,Питание,Высокий,32,BC
t02_h.md,t02,Питание,Высокий,33,CD
t02_h.md,t02,Питание,Высокий,34,AB
t02_h.md,t02,Питание,Высокий,35,BD
t02_h.md,t02,Питание,Высокий,36,1-D; 2-C; 3-B; 4-A
t02_h.md,t02,Питание,Высокий,37,1-D; 2-B; 3-C; 4-A
t02_h.md,t02,Питание,Высокий,38,1-D; 2-B; 3-C; 4-A
t02_h.md,t02,Питание,Высокий,39,1-B; 2-A; 3-D; 4-C
t02_h.md,t02,Питание,Высокий,40,1-A; 2-B; 3-D; 4-C
t03_b.md,t03,Транспорт веществ,Базовый,1,C
t03_b.md,t03,Транспорт веществ,Базовый,2,D
t03_b.md,t03,Транспорт веществ,Базовый,3,A
t03_b.md,t03,Транспорт веществ,Базовый,4,C
t03_b.md,t03,Транспорт веществ,Базовый,5,C
t03_b.md,t03,Транспорт веществ,Базовый,6,A
t03_b.md,t03,Транспорт веществ,Базовый,7,C
t03_b.md,t03,Транспорт веществ,Базовый,8,A
t03_b.md,t03,Транспорт веществ,Базовый,9,D
t03_b.md,t03,Транспорт веществ,Базовый,10,B
t03_b.md,t03,Транспорт веществ,Базовый,11,D
t03_b.md,t03,Транспорт веществ,Базовый,12,D
t03_b.md,t03,Транспорт веществ,Базовый,13,D
t03_b.md,t03,Транспорт веществ,Базовый,14,D
t03_b.md,t03,Транспорт веществ,Базовый,15,B
t03_b.md,t03,Транспорт веществ,Базовый,16,C
t03_b.md,t03,Транспорт веществ,Базовый,17,D
t03_b.md,t03,Транспорт веществ,Базовый,18,B
t03_b.md,t03,Транспорт веществ,Базовый,19,D
t03_b.md,t03,Транспорт веществ,Базовый,20,B
t03_b.md,t03,Транспорт веществ,Базовый,21,A
t03_b.md,t03,Транспорт веществ,Базовый,22,C
t03_b.md,t03,Транспорт веществ,Базовый,23,C
t03_b.md,t03,Транспорт веществ,Базовый,24,C
t03_b.md,t03,Транспорт веществ,Базовый,25,D
t03_b.md,t03,Транспорт веществ,Базовый,26,A
t03_b.md,t03,Транспорт веществ,Базовый,27,A
t03_b.md,t03,Транспорт веществ,Базовый,28,C
t03_b.md,t03,Транспорт веществ,Базовый,29,C
t03_b.md,t03,Транспорт веществ,Базовый,30,C
t03_b.md,t03,Транспорт веществ,Базовый,31,AD
t03_b.md,t03,Транспорт веществ,Базовый,32,CD
t03_b.md,t03,Транспорт веществ,Базовый,33,BD
t03_b.md,t03,Транспорт веществ,Базовый,34,BD
t03_b.md,t03,Транспорт веществ,Базовый,35,AB
t03_b.md,t03,Транспорт веществ,Базовый,36,1-A; 2-B; 3-D; 4-C
t03_b.md,t03,Транспорт веществ,Базовый,37,1-B; 2-A; 3-D; 4-C
t03_b.md,t03,Транспорт веществ,Базовый,38,1-B; 2-D; 3-A; 4-C
t03_b.md,t03,Транспорт веществ,Базовый,39,1-A; 2-D; 3-C; 4-B
t03_b.md,t03,Транспорт веществ,Базовый,40,1-C; 2-D; 3-B; 4-A
t03_m.md,t03,Транспорт веществ,Средний,1,D
t03_m.md,t03,Транспорт веществ,Средний,2,D
t03_m.md,t03,Транспорт веществ,Средний,3,D
t03_m.md,t03,Транспорт веществ,Средний,4,D
t03_m.md,t03,Транспорт веществ,Средний,5,C
t03_m.md,t03,Транспорт веществ,Средний,6,B
t03_m.md,t03,Транспорт веществ,Средний,7,B
t03_m.md,t03,Транспорт веществ,Средний,8,C
t03_m.md,t03,Транспорт веществ,Средний,9,C
t03_m.md,t03,Транспорт веществ,Средний,10,B
t03_m.md,t03,Транспорт веществ,Средний,11,A
t03_m.md,t03,Транспорт веществ,Средний,12,A
t03_m.md,t03,Транспорт веществ,Средний,13,C
t03_m.md,t03,Транспорт веществ,Средний,14,C
t03_m.md,t03,Транспорт веществ,Средний,15,C
t03_m.md,t03,Транспорт веществ,Средний,16,D
t03_m.md,t03,Транспорт веществ,Средний,17,B
t03_m.md,t03,Транспорт веществ,Средний,18,A
t03_m.md,t03,Транспорт веществ,Средний,19,B
t03_m.md,t03,Транспорт веществ,Средний,20,D
t03_m.md,t03,Транспорт веществ,Средний,21,B
t03_m.md,t03,Транспорт веществ,Средний,22,C
t03_m.md,t03,Транспорт веществ,Средний,23,A
t03_m.md,t03,Транспорт веществ,Средний,24,B
t03_m.md,t03,Транспорт веществ,Средний,25,B
t03_m.md,t03,Транспорт веществ,Средний,26,C
t03_m.md,t03,Транспорт веществ,Средний,27,B
t03_m.md,t03,Транспорт веществ,Средний,28,A
t03_m.md,t03,Транспорт веществ,Средний,29,C
t03_m.md,t03,Транспорт веществ,Средний,30,D
t03_m.md,t03,Транспорт веществ,Средний,31,AB
t03_m.md,t03,Транспорт веществ,Средний,32,BD
t03_m.md,t03,Транспорт веществ,Средний,33,BD
t03_m.md,t03,Транспорт веществ,Средний,34,BC
t03_m.md,t03,Транспорт веществ,Средний,35,AB
t03_m.md,t03,Транспорт веществ,Средний,36,1-C; 2-B; 3-A; 4-D
t03_m.md,t03,Транспорт веществ,Средний,37,1-A; 2-D; 3-C; 4-B
t03_m.md,t03,Транспорт веществ,Средний,38,1-D; 2-A; 3-B; 4-C
t03_m.md,t03,Транспорт веществ,Средний,39,1-D; 2-C; 3-A; 4-B
t03_m.md,t03,Транспорт веществ,Средний,40,1-B; 2-D; 3-A; 4-C
t03_h.md,t03,Транспорт веществ,Высокий,1,D
t03_h.md,t03,Транспорт веществ,Высокий,2,C
t03_h.md,t03,Транспорт веществ,Высокий,3,D
t03_h.md,t03,Транспорт веществ,Высокий,4,D
t03_h.md,t03,Транспорт веществ,Высокий,5,C
t03_h.md,t03,Транспорт веществ,Высокий,6,B
t03_h.md,t03,Транспорт веществ,Высокий,7,B
t03_h.md,t03,Транспорт веществ,Высокий,8,C
t03_h.md,t03,Транспорт веществ,Высокий,9,D
t03_h.md,t03,Транспорт веществ,Высокий,10,D
t03_h.md,t03,Транспорт веществ,Высокий,11,A
t03_h.md,t03,Транспорт веществ,Высокий,12,A
t03_h.md,t03,Транспорт веществ,Высокий,13,A
t03_h.md,t03,Транспорт веществ,Высокий,14,D
t03_h.md,t03,Транспорт веществ,Высокий,15,C
t03_h.md,t03,Транспорт веществ,Высокий,16,A
t03_h.md,t03,Транспорт веществ,Высокий,17,B
t03_h.md,t03,Транспорт веществ,Высокий,18,D
t03_h.md,t03,Транспорт веществ,Высокий,19,A
t03_h.md,t03,Транспорт веществ,Высокий,20,D
t03_h.md,t03,Транспорт веществ,Высокий,21,C
t03_h.md,t03,Транспорт веществ,Высокий,22,A
t03_h.md,t03,Транспорт веществ,Высокий,23,B
t03_h.md,t03,Транспорт веществ,Высокий,24,A
t03_h.md,t03,Транспорт веществ,Высокий,25,C
t03_h.md,t03,Транспорт веществ,Высокий,26,C
t03_h.md,t03,Транспорт веществ,Высокий,27,D
t03_h.md,t03,Транспорт веществ,Высокий,28,D
t03_h.md,t03,Транспорт веществ,Высокий,29,A
t03_h.md,t03,Транспорт веществ,Высокий,30,B
t03_h.md,t03,Транспорт веществ,Высокий,31,AC
t03_h.md,t03,Транспорт веществ,Высокий,32,AC
t03_h.md,t03,Транспорт веществ,Высокий,33,CD
t03_h.md,t03,Транспорт веществ,Высокий,34,BC
t03_h.md,t03,Транспорт веществ,Высокий,35,AC
t03_h.md,t03,Транспорт веществ,Высокий,36,1-D; 2-C; 3-A; 4-B
t03_h.md,t03,Транспорт веществ,Высокий,37,1-C; 2-D; 3-B; 4-A
t03_h.md,t03,Транспорт веществ,Высокий,38,1-D; 2-C; 3-B; 4-A
t03_h.md,t03,Транспорт веществ,Высокий,39,1-C; 2-D; 3-B; 4-A
t03_h.md,t03,Транспорт веществ,Высокий,40,1-B; 2-C; 3-A; 4-D
t04_b.md,t04,Дыхание,Базовый,1,A
t04_b.md,t04,Дыхание,Базовый,2,A
t04_b.md,t04,Дыхание,Базовый,3,B
t04_b.md,t04,Дыхание,Базовый,4,B
t04_b.md,t04,Дыхание,Базовый,5,C
t04_b.md,t04,Дыхание,Базовый,6,A
t04_b.md,t04,Дыхание,Базовый,7,C
t04_b.md,t04,Дыхание,Базовый,8,B
t04_b.md,t04,Дыхание,Базовый,9,B
t04_b.md,t04,Дыхание,Базовый,10,C
t04_b.md,t04,Дыхание,Базовый,11,A
t04_b.md,t04,Дыхание,Базовый,12,C
t04_b.md,t04,Дыхание,Базовый,13,A
t04_b.md,t04,Дыхание,Базовый,14,A
t04_b.md,t04,Дыхание,Базовый,15,C
t04_b.md,t04,Дыхание,Базовый,16,C
t04_b.md,t04,Дыхание,Базовый,17,D
t04_b.md,t04,Дыхание,Базовый,18,D
t04_b.md,t04,Дыхание,Базовый,19,D
t04_b.md,t04,Дыхание,Базовый,20,C
t04_b.md,t04,Дыхание,Базовый,21,B
t04_b.md,t04,Дыхание,Базовый,22,A
t04_b.md,t04,Дыхание,Базовый,23,A
t04_b.md,t04,Дыхание,Базовый,24,C
t04_b.md,t04,Дыхание,Базовый,25,C
t04_b.md,t04,Дыхание,Базовый,26,C
t04_b.md,t04,Дыхание,Базовый,27,D
t04_b.md,t04,Дыхание,Базовый,28,A
t04_b.md,t04,Дыхание,Базовый,29,A
t04_b.md,t04,Дыхание,Базовый,30,A
t04_b.md,t04,Дыхание,Базовый,31,AB
t04_b.md,t04,Дыхание,Базовый,32,AC
t04_b.md,t04,Дыхание,Базовый,33,BC
t04_b.md,t04,Дыхание,Базовый,34,AC
t04_b.md,t04,Дыхание,Базовый,35,BC
t04_b.md,t04,Дыхание,Базовый,36,1-A; 2-C; 3-D; 4-B
t04_b.md,t04,Дыхание,Базовый,37,1-A; 2-B; 3-D; 4-C
t04_b.md,t04,Дыхание,Базовый,38,1-B; 2-A; 3-C; 4-D
